      Jour      Heure     Minute       Nobs Moyenne(ppm) 
         1         18         27         20        888 
         1         18         28         20        458 
         1         18         29         20        236 
         1         18         30         20        168 
         1         18         31         20        160 
         1         18         32         20        167 
         1         18         33         20        457 
         1         18         34         20        560 
         1         18         35         20        675 
         1         18         36         20        362 
         1         18         37         20        174 
         1         18         38         20        146 
         1         18         39         20        142 
         1         18         40         20        205 
         1         18         41         20        750 
         1         18         42         20        545 
         1         18         43         20        815 
         1         18         44         20        542 
         1         18         45         20        253 
         1         18         46         20        169 
         1         18         47         20        169 
         1         18         48         20        361 
         1         18         49         20        395 
         1         18         50         20        588 
         1         18         51         20        593 
         1         18         52         20        303 
         1         18         53         20        184 
         1         18         54         20        158 
         1         18         55         20        468 
         1         18         56         20        859 
         1         18         57         20        823 
         1         18         58         20        703 
         1         18         59         20        759 
         1         19          0         20        546 
         1         19          1         20        620 
         1         19          2         20        495 
         1         19          3         20        700 
         1         19          4         20        348 
         1         19          5         20        218 
         1         19          6         20        175 
         1         19          7         20        159 
         1         19          8         20        161 
         1         19          9         20        254 
         1         19         10         20        306 
         1         19         11         20        232 
         1         19         12         20        388 
         1         19         13         20        463 
         1         19         14         20        381 
         1         19         15         20        331 
         1         19         16         20        236 
         1         19         17         20        247 
         1         19         18         20        294 
         1         19         19         20        562 
         1         19         20         20        650 
         1         19         21         20        613 
         1         19         22         20        539 
         1         19         23         20        377 
         1         19         24         20        198 
         1         19         25         20        164 
         1         19         26         20        218 
         1         19         27         20        394 
         1         19         28         20        200 
         1         19         29         20        167 
         1         19         30         20        168 
         1         19         31         20        169 
         1         19         32         20        174 
         1         19         33         20        376 
         1         19         34         20        715 
         1         19         35         20        761 
         1         19         36         20        742 
         1         19         37         20        710 
         1         19         38         20        610 
         1         19         39         20        442 
         1         19         40         20        590 
         1         19         41         20        801 
         1         19         42         20        999 
         1         19         43         20        689 
         1         19         44         20        788 
         1         19         45         20        599 
         1         19         46         20        297 
         1         19         47         19        655 
         1         19         48         20        463 
         1         19         49         20        377 
         1         19         50         20        526 
         1         19         51         20        385 
         1         19         52         20        444 
         1         19         53         20        401 
         1         19         54         20        370 
         1         19         55         20        179 
         1         19         56         20        220 
         1         19         57         20        195 
         1         19         58         20        202 
         1         19         59         20        202 
         1         20          0         19        247 
         1         20          1         20        314 
         1         20          2         20        189 
         1         20          3         20        210 
         1         20          4         20        226 
         1         20          5         20        247 
         1         20          6         20        261 
         1         20          7         20        323 
         1         20          8         20        245 
         1         20          9         20        199 
         1         20         10         20        283 
         1         20         11         20        217 
         1         20         12         20        413 
         1         20         13         20        551 
         1         20         14         20        568 
         1         20         15         20        548 
         1         20         16         20        359 
         1         20         17         20        570 
         1         20         18         20        717 
         1         20         19         20        437 
         1         20         20         20        197 
         1         20         21         20        158 
         1         20         22         20        269 
         1         20         23         20        352 
         1         20         24         20        307 
         1         20         25         20        309 
         1         20         26         20        226 
         1         20         27         20        504 
         1         20         28         20        319 
         1         20         29         20        280 
         1         20         30         20        475 
         1         20         31         20        533 
         1         20         32         20        409 
         1         20         33         20        259 
         1         20         34         20        204 
         1         20         35         20        198 
         1         20         36         20        174 
         1         20         37         20        186 
         1         20         38         20        492 
         1         20         39         20        460 
         1         20         40         20        466 
         1         20         41         20        431 
         1         20         42         20        491 
         1         20         43         20        402 
         1         20         44         20        387 
         1         20         45         20        381 
         1         20         46         20        521 
         1         20         47         20        755 
         1         20         48         20        766 
         1         20         49         20        729 
         1         20         50         20        703 
         1         20         51         20        563 
         1         20         52         20        384 
         1         20         53         20        246 
         1         20         54         20        258 
         1         20         55         20        269 
         1         20         56         20        326 
         1         20         57         20        457 
         1         20         58         20        412 
         1         20         59         20        283 
         1         21          0         20        451 
         1         21          1         20        685 
         1         21          2         20        654 
         1         21          3         20        581 
         1         21          4         20        465 
         1         21          5         20        343 
         1         21          6         20        301 
         1         21          7         20        470 
         1         21          8         20        652 
         1         21          9         20        585 
         1         21         10         20        544 
         1         21         11         20        690 
         1         21         12         20        922 
         1         21         13         20        353 
         1         21         14         20        272 
         1         21         15         20        343 
         1         21         16         19        308 
         1         21         17         20        435 
         1         21         18         20        441 
         1         21         19         20        371 
         1         21         20         20        205 
         1         21         21         20        154 
         1         21         22         20        146 
         1         21         23         20        143 
         1         21         24         20        144 
         1         21         25         20        147 
         1         21         26         20        149 
         1         21         27         20        146 
         1         21         28         20        144 
         1         21         29         20        155 
         1         21         30         20        184 
         1         21         31         20        368 
         1         21         32         20        421 
         1         21         33         20        497 
         1         21         34         20        255 
         1         21         35         20        173 
         1         21         36         20        149 
         1         21         37         20        150 
         1         21         38         20        142 
         1         21         39         19        186 
         1         21         40         20        198 
         1         21         41         20        260 
         1         21         42         20        250 
         1         21         43         20        233 
         1         21         44         20        959 
         1         21         45         20        666 
         1         21         46         20        453 
         1         21         47         20        383 
         1         21         48         20        299 
         1         21         49         20        200 
         1         21         50         20        152 
         1         21         51         20        142 
         1         21         52         20        146 
         1         21         53         20        275 
         1         21         54         20        355 
         1         21         55         20        327 
         1         21         56         20        330 
         1         21         57         20        252 
         1         21         58         20        164 
         1         21         59         20        143 
         1         22          0         20        163 
         1         22          1         20        168 
         1         22          2         20        151 
         1         22          3         20        163 
         1         22          4         20        208 
         1         22          5         20        255 
         1         22          6         20        277 
         1         22          7         20        202 
         1         22          8         20        194 
         1         22          9         20        389 
         1         22         10         20        996 
         1         22         11         20        941 
         1         22         12         20        574 
         1         22         13         20        322 
         1         22         14         20        224 
         1         22         15         20        167 
         1         22         16         20        149 
         1         22         17         20        156 
         1         22         18         20        155 
         1         22         19         20        157 
         1         22         20         20        160 
         1         22         21         20        165 
         1         22         22         20        163 
         1         22         23         20        172 
         1         22         24         20        163 
         1         22         25         20        167 
         1         22         26         20        179 
         1         22         27         20        277 
         1         22         28         20        738 
         1         22         29         20        752 
         1         22         30         20        732 
         1         22         31         20        653 
         1         22         32         20        344 
         1         22         33         20        172 
         1         22         34         20        145 
         1         22         35         20        145 
         1         22         36         20        147 
